iter	Logloss
128	0.4408816231
129	0.4407923305
130	0.4403764259
131	0.4401138622
132	0.4398111861
133	0.4395240355
134	0.4393602488
135	0.4392090346
136	0.4387835818
137	0.4385444464
138	0.43839021
139	0.4383209572
140	0.4382069181
141	0.438096891
142	0.4378866492
143	0.4377834674
144	0.4370167995
145	0.4367427706
146	0.4365626113
147	0.4360963588
148	0.4360450857
149	0.4356865743
150	0.4356232628
151	0.4355305153
152	0.4352597585
153	0.4351678074
154	0.4349659435
155	0.4347144037
156	0.4344951707
157	0.43434543
158	0.4342444959
159	0.4340462727
160	0.4339629159
161	0.4337895612
162	0.4337207657
163	0.4329735492
164	0.4326811554
165	0.4325473384
166	0.4324950144
167	0.4320222899
168	0.4319500257
169	0.4317682014
170	0.4316405408
171	0.4314182647
172	0.4308947716
173	0.4305494665
174	0.4305037127
175	0.4303997661
176	0.4301969049
177	0.4299726183
178	0.429927569
179	0.42960532
180	0.4295441106
181	0.4295145024
182	0.429496147
183	0.4291571734
184	0.4290422392
185	0.428773396
186	0.4287179209
187	0.4286618516
188	0.4286596103
189	0.4283069725
190	0.4282530112
191	0.4281865886
192	0.4279443941
193	0.4277317061
194	0.4277299103
195	0.4276319726
196	0.4276083409
197	0.4269149679
198	0.4267823601
199	0.4263758562
200	0.4256377588
201	0.4256008108
202	0.4254513286
203	0.4254178108
204	0.4246913535
205	0.4246483012
206	0.424203096
207	0.4241807551
208	0.4241677985
209	0.4234760065
210	0.4232531346
211	0.4229472152
212	0.4229165774
213	0.4227969007
214	0.4222660013
215	0.422229761
216	0.4221704023
217	0.4221336962
218	0.4220062275
219	0.4216522961
220	0.4213367735
221	0.4213360601
222	0.4211440432
223	0.4205727162
224	0.4205521976
225	0.420203993
226	0.420040004
227	0.4198975581
228	0.4196985062
229	0.4196042969
230	0.4196037667
231	0.4195318555
232	0.4195084269
233	0.4195029307
234	0.4193994931
235	0.4190725605
236	0.4188936197
237	0.4187788809
238	0.4184853008
239	0.4182708762
240	0.4181951869
241	0.4181808228
242	0.418144829
243	0.4180584987
244	0.4180316432
245	0.417795541
246	0.4171684967
247	0.4169252373
248	0.4161379483
249	0.415679943
250	0.4154901964
251	0.4153566079
252	0.4153152251
253	0.4152913582
254	0.4149410951
255	0.4147769832
256	0.4145704617
257	0.4145483201
258	0.4145443648
259	0.4138419569
260	0.413821551
261	0.4136823595
262	0.4135310651
263	0.4135305658
264	0.4135075109
265	0.4133865857
266	0.4127464416
267	0.4127207805
268	0.4126513976
269	0.4116011126
270	0.4114061299
271	0.4113878095
272	0.4113472095
273	0.4105580643
274	0.4101971448
275	0.4095700885
276	0.4091579583
277	0.4083511879
278	0.4082989563
279	0.4082848534
280	0.4081849671
281	0.4081224898
282	0.4081060835
283	0.4080516246
284	0.4074464296
285	0.4074280791
286	0.4074061513
287	0.4073475711
288	0.4067948868
289	0.4067400485
290	0.4066796716
291	0.4065375171
292	0.4064174868
293	0.4063440432
294	0.4062978728
295	0.4062759257
296	0.4062576616
297	0.4061542247
298	0.4061090596
299	0.4056374741
300	0.4055771985
301	0.4053766694
302	0.4052801899
303	0.4052470631
304	0.4049552707
305	0.4049371226
306	0.404861274
307	0.4048566405
308	0.4048439019
309	0.4048314834
310	0.4046893183
311	0.4046670932
312	0.4046505152
313	0.404445899
314	0.4044301989
315	0.4043312473
316	0.4043200649
317	0.4042565685
318	0.4042527128
319	0.4038862184
320	0.4038740634
321	0.4034970527
322	0.4034345336
323	0.4034345332
324	0.4024788849
325	0.4024365367
326	0.4015798359
327	0.4014828027
328	0.4013985349
329	0.4010176244
330	0.4009851895
331	0.4009835855
332	0.4009804687
333	0.4009680614
334	0.4009611654
335	0.4008760307
336	0.400858673
337	0.4008277831
338	0.4007888441
339	0.4007810066
340	0.4007670585
341	0.4007303236
342	0.4007215051
343	0.4005143417
344	0.400268691
345	0.4002667905
346	0.4002639272
347	0.4001837376
348	0.4001290079
349	0.400120466
350	0.4000097714
351	0.3997957034
352	0.39978425
353	0.3997516191
354	0.3997003664
355	0.3996665145
356	0.3996510597
357	0.3996253823
358	0.399623591
359	0.3995649912
360	0.3995612033
361	0.3995302286
362	0.3994984758
363	0.3994930855
364	0.3994365878
365	0.3992190875
366	0.3992164356
367	0.3992027202
368	0.3991829271
369	0.3991814337
370	0.3989922517
371	0.3987162009
372	0.398613053
373	0.3986023862
374	0.3985372411
375	0.3984805021
376	0.3982325939
377	0.3982242243
378	0.3981789044
379	0.3980541308
380	0.3980095748
381	0.3974948361
382	0.3974771015
383	0.39734585
384	0.3971914342
385	0.3971876226
386	0.3971742007
387	0.3971665965
388	0.3971665621
389	0.3971394315
390	0.3971040745
391	0.3966324079
392	0.3960885544
393	0.3960745017
394	0.3960130884
395	0.3959827042
396	0.3959797281
397	0.3959756255
398	0.3959680274
399	0.3959170466
400	0.395873679
401	0.3958731482
402	0.3958519098
403	0.3957608682
404	0.3957571845
405	0.3957187804
406	0.3956730264
407	0.3956688299
408	0.3956449333
409	0.3956422552
410	0.3953131326
411	0.3952742746
412	0.3952128405
413	0.3950663933
414	0.3950564056
415	0.3950563694
416	0.395035375
417	0.3947596799
418	0.3947593882
419	0.3943882245
420	0.3943574771
421	0.3940750758
422	0.394070578
423	0.3939551932
424	0.3939483091
425	0.3938110146
426	0.3937883181
427	0.3937444968
428	0.3935389608
429	0.3935387066
430	0.3935386969
431	0.3935310798
432	0.3935109706
433	0.3929673633
434	0.3929505138
435	0.3928863999
436	0.3926150948
437	0.3926091589
438	0.3925845503
439	0.3924397071
440	0.3924389053
441	0.3924068316
442	0.3923944273
443	0.3923835229
444	0.3923777264
445	0.3922663161
446	0.3920659952
447	0.391692595
448	0.3916430277
449	0.3916065572
450	0.3912826882
451	0.3912805835
452	0.3912772236
453	0.3912667074
454	0.3912623168
455	0.3912575988
456	0.3911244311
457	0.3910487766
458	0.391005926
459	0.3910056904
460	0.3906376073
461	0.3905768447
462	0.3904870603
463	0.3904788535
464	0.3904631749
465	0.3904381334
466	0.3903202234
467	0.3902363105
468	0.3902252329
469	0.390224015
470	0.3900226781
471	0.3899896546
472	0.3899894265
473	0.3897981987
474	0.3894739268
475	0.3894684079
476	0.3893598229
477	0.3892790677
478	0.3890976146
479	0.3890782807
480	0.3890199982
481	0.3889268905
482	0.3886540168
483	0.3886084409
484	0.3885771092
485	0.3885302463
486	0.3885241017
487	0.3885238741
488	0.3880187635
489	0.3879743173
490	0.3879541515
491	0.3877160831
492	0.3876982345
493	0.3876934754
494	0.3876869568
495	0.3876582656
496	0.38759352
497	0.3875890415
498	0.3875214799
499	0.387039007
500	0.3870389999
501	0.3870266737
502	0.386988611
503	0.3869881883
504	0.3868860559
505	0.3868234751
506	0.3868230573
507	0.386683518
508	0.3864744465
509	0.386437966
510	0.3864192795
511	0.3864034082
512	0.3862800386
513	0.3862442584
514	0.386122582
515	0.3855737921
516	0.3855681306
517	0.3854165326
518	0.3853286038
519	0.3847234165
520	0.3845171596
521	0.3839213109
522	0.3838227941
523	0.3835702312
524	0.3835481015
525	0.3834539415
526	0.383064044
527	0.3829727211
528	0.3828669182
529	0.3827600923
530	0.382620254
531	0.3822449423
532	0.3819716197
533	0.3816579078
534	0.3813929929
535	0.3812741118
536	0.3812043124
537	0.3811397634
538	0.3809721372
539	0.3809605355
540	0.3808920364
541	0.3806624186
542	0.3803764144
543	0.380319745
544	0.3802265664
545	0.3799110173
546	0.3798943957
547	0.3797893025
548	0.3796290011
549	0.379598352
550	0.3795091237
551	0.3792791806
552	0.3792083691
553	0.3791901981
554	0.3791864439
555	0.378993427
556	0.3789926357
557	0.3787492102
558	0.3784676514
559	0.3784126678
560	0.3783947544
561	0.3782173866
562	0.3777620593
563	0.3775748432
564	0.3775680559
565	0.3774539738
566	0.3774329023
567	0.3769273122
568	0.376912235
569	0.3769003103
570	0.3767232675
571	0.3766447912
572	0.3764590215
573	0.3764383492
574	0.3763593143
575	0.376348591
576	0.376129904
577	0.3761153172
578	0.3760057786
579	0.3758579722
580	0.3758547111
581	0.3756589221
582	0.3754345556
583	0.3754226012
584	0.3753541261
585	0.3752218161
586	0.3752193941
587	0.3746673319
588	0.3745347865
589	0.3745325718
590	0.3739644307
591	0.3736702056
592	0.373187514
593	0.3731848223
594	0.3729969142
595	0.3727085529
596	0.3726751373
597	0.3726161003
598	0.3725844934
599	0.3725190653
600	0.372463826
601	0.3721791053
602	0.3719853502
603	0.3719004739
604	0.3718615862
605	0.3717436545
606	0.3714719477
607	0.371448616
608	0.3713816437
609	0.3711631403
610	0.3711386496
611	0.3709437438
612	0.370795699
613	0.3704791152
614	0.3701094244
615	0.3700917103
616	0.3700908932
617	0.3699292212
618	0.3698039316
619	0.3694482054
620	0.3694469916
621	0.3693854412
622	0.3693497656
623	0.3691268767
624	0.3689819604
625	0.3687088064
626	0.3684937973
627	0.3684263191
628	0.3684126835
629	0.3684085137
630	0.3681929405
631	0.3680531281
632	0.36751791
633	0.3673680945
634	0.3672986172
635	0.3672634513
636	0.3671849078
637	0.3671133179
638	0.3670631726
639	0.3666821684
640	0.3666025569
641	0.3665177157
642	0.3664774596
643	0.3664434697
644	0.3664285299
645	0.3663183987
646	0.3660741299
647	0.3660456397
648	0.366026896
649	0.3654543393
650	0.3652258107
651	0.365056681
652	0.3648332137
653	0.3648208992
654	0.3642027583
655	0.3642014023
656	0.3640308715
657	0.363944626
658	0.3638957645
659	0.3636827059
660	0.3636713133
661	0.3636382486
662	0.3633958738
663	0.3632676605
664	0.3631725873
665	0.3630993051
666	0.3630836671
667	0.3630265123
668	0.3629632688
669	0.362863641
670	0.3626509081
671	0.3626091115
672	0.3623911557
673	0.3619549725
674	0.3617134778
675	0.3616206151
676	0.3616021588
677	0.3615773444
678	0.3615113789
679	0.3615013383
680	0.3614938244
681	0.3614263082
682	0.3612544209
683	0.3611264846
684	0.3609910785
685	0.3609722284
686	0.3605966434
687	0.3605757865
688	0.3605418597
689	0.3603805342
690	0.3603740417
691	0.3601050524
692	0.3597760584
693	0.3597348183
694	0.3596968773
695	0.3595469725
696	0.359510555
697	0.3594738683
698	0.3592923263
699	0.3592104599
700	0.3590133396
701	0.3589844428
702	0.358979956
703	0.3589241082
704	0.3588722473
705	0.3588678949
706	0.358855171
707	0.358479211
708	0.3578298685
709	0.3575556725
710	0.3575304314
711	0.3574320129
712	0.3573587402
713	0.3573314789
714	0.3571699222
715	0.3570490657
716	0.3569758051
717	0.3567171409
718	0.3564775702
719	0.3562863539
720	0.3562634364
721	0.356220752
722	0.3562131604
723	0.3558815639
724	0.3558420103
725	0.3558391247
726	0.3558122085
727	0.3557832535
728	0.3553820574
729	0.3552057431
730	0.3551777471
731	0.3550923491
732	0.3547607642
733	0.3546713903
734	0.3544523547
735	0.354142215
736	0.3540332937
737	0.3536367126
738	0.3536343881
739	0.3533282455
740	0.3533109851
741	0.353305199
742	0.3531296716
743	0.3529090595
744	0.3528997443
745	0.3527892178
746	0.3527744339
747	0.3526399839
748	0.3525486205
749	0.35254777
750	0.3524891752
751	0.3524771077
752	0.3524094662
753	0.3522259701
754	0.3522199232
755	0.3522065127
756	0.351930708
757	0.3518630944
758	0.3516349834
759	0.3516012719
760	0.3515975597
761	0.351549296
762	0.3515293605
763	0.3514323432
764	0.3514151811
765	0.3511390633
766	0.3511148946
767	0.351100264
768	0.3509949331
769	0.3508568883
770	0.3503380426
771	0.3500707272
772	0.3498386753
773	0.349765352
774	0.3497578127
775	0.3495647071
776	0.3495419435
777	0.3493940258
778	0.3493825497
779	0.349358198
780	0.3492904792
781	0.3492865577
782	0.3492822769
783	0.3490221976
784	0.3483683725
785	0.348257045
786	0.3480697589
787	0.3477732571
788	0.347769011
789	0.3473969018
790	0.3472811614
791	0.3469201303
792	0.3467527399
793	0.3466983408
794	0.3465369102
795	0.3461600827
796	0.3457358887
797	0.3456944751
798	0.3456522209
799	0.3454315004
800	0.34542849
801	0.3454115313
802	0.3451302533
803	0.3450465215
804	0.3450422736
805	0.34500006
806	0.3448633045
807	0.3448389627
808	0.3442577919
809	0.3442267263
810	0.3442195398
811	0.3441939939
812	0.3439051535
813	0.343529048
814	0.3434360716
815	0.3434345397
816	0.3433274727
817	0.3432563741
818	0.3431918723
819	0.3431707125
820	0.3431590978
821	0.3430486244
822	0.3430033526
823	0.3428623089
824	0.3428076558
825	0.3427874046
826	0.3426466996
827	0.3421862086
828	0.3417935863
829	0.3416181801
830	0.3416044805
831	0.3415906768
832	0.3415183075
833	0.3411484096
834	0.34106993
835	0.3410674353
836	0.3407929478
837	0.3404829224
838	0.3403602998
839	0.3400408033
840	0.3396555118
841	0.3395796773
842	0.3394562242
843	0.3389570795
844	0.338833561
845	0.338790167
846	0.3387533593
847	0.3386565916
848	0.3386556182
849	0.3384127344
850	0.3383662047
851	0.3383531031
852	0.338287464
853	0.3380671079
854	0.338056772
855	0.3378579619
856	0.337804652
857	0.3377829108
858	0.3377026918
859	0.3375386015
860	0.3373898426
861	0.3372976102
862	0.3372945263
863	0.3370047067
864	0.3369629403
865	0.3368423897
866	0.3366370095
867	0.3366080619
868	0.3365883348
869	0.3360784162
870	0.3357864978
871	0.3357029292
872	0.3356722707
873	0.3354393541
874	0.335314851
875	0.3352999976
876	0.3351437276
877	0.3350508515
878	0.3348458534
879	0.3347066626
880	0.3345629795
881	0.3345458559
882	0.3344080057
883	0.3343570264
884	0.3343339316
885	0.3343263505
886	0.3342584797
887	0.3342557044
888	0.334064593
889	0.3340182238
890	0.3339252554
891	0.3339050166
892	0.3338498435
893	0.333580692
894	0.3335653149
895	0.3333800776
896	0.333289255
897	0.3330983781
898	0.3330062148
899	0.3328306498
900	0.3328204148
901	0.3327401533
902	0.3327123503
903	0.3324890776
904	0.332246164
905	0.3322152914
906	0.3321639102
907	0.332090288
908	0.3320185285
909	0.3320036806
910	0.3319458616
911	0.3319179995
912	0.3316762904
913	0.331594466
914	0.3315551603
915	0.3315498734
916	0.3314918165
917	0.3314135199
918	0.3311628874
919	0.3310849791
920	0.3308265079
921	0.3307889035
922	0.330641228
923	0.3306129349
924	0.3306035186
925	0.3305885177
926	0.3305697022
927	0.3305157103
928	0.3305155701
929	0.3305095537
930	0.3304631678
931	0.3304267745
932	0.33039701
933	0.330314637
934	0.3301780909
935	0.3300242357
936	0.3299246996
937	0.3298804053
938	0.3298471444
939	0.3298367598
940	0.3297051606
941	0.3296556815
942	0.3296316994
943	0.3296003881
944	0.3295704279
945	0.329539704
946	0.3295155279
947	0.3294704217
948	0.3293057417
949	0.3291439107
950	0.3291126832
951	0.3288622806
952	0.3288387984
953	0.3287477887
954	0.3286163534
955	0.328530596
956	0.3285095878
957	0.3284815613
958	0.3284493908
959	0.3283132302
960	0.3282450475
961	0.3281252692
962	0.3280807541
963	0.3279297577
964	0.3277364501
965	0.3276359706
966	0.3275702232
967	0.3275541614
968	0.3275257109
969	0.3274915055
970	0.327403876
971	0.3273562328
972	0.3272262251
973	0.3271304838
974	0.3270780719
975	0.3269699826
976	0.3268642677
977	0.3268002894
978	0.3267993615
979	0.3266514973
980	0.3265809909
981	0.3265222638
982	0.326512812
983	0.3264204544
984	0.3262027228
985	0.326198598
986	0.3261645681
987	0.3261520781
988	0.3261479946
989	0.3261254371
990	0.32612274
991	0.3260848346
992	0.3260806853
993	0.3259534041
994	0.3258253615
995	0.3258218284
996	0.325808308
997	0.3258045594
998	0.3254526039
999	0.3254354008
