iter	Passed	Remaining
178	1834	8414
179	1849	8427
180	1857	8405
181	1865	8383
182	1872	8357
183	1883	8350
184	1896	8354
185	1916	8385
186	1925	8371
187	1936	8362
188	1947	8355
189	1961	8363
190	1976	8370
191	1986	8358
192	1995	8345
193	2007	8341
194	2012	8308
195	2020	8289
196	2024	8251
197	2035	8242
198	2044	8229
199	2053	8214
200	2064	8205
201	2073	8192
202	2087	8196
203	2094	8174
204	2108	8178
205	2112	8142
206	2123	8135
207	2129	8108
208	2134	8077
209	2142	8060
210	2151	8046
211	2161	8034
212	2167	8010
213	2175	7991
214	2185	7978
215	2190	7950
216	2201	7942
217	2210	7929
218	2217	7909
219	2228	7901
220	2237	7888
221	2242	7858
222	2251	7846
223	2265	7849
224	2271	7822
225	2280	7809
226	2288	7791
227	2298	7782
228	2308	7772
229	2317	7757
230	2322	7732
231	2330	7716
232	2338	7698
233	2345	7678
234	2358	7678
235	2367	7665
236	2376	7652
237	2385	7637
238	2392	7618
239	2400	7603
240	2407	7581
241	2415	7564
242	2419	7537
243	2432	7535
244	2437	7510
245	2446	7497
246	2455	7487
247	2464	7474
248	2475	7465
249	2485	7457
250	2502	7466
251	2517	7471
252	2536	7489
253	2552	7496
254	2566	7497
255	2573	7479
256	2582	7466
257	2590	7448
258	2595	7425
259	2605	7415
260	2611	7395
261	2621	7384
262	2631	7373
263	2637	7353
264	2643	7333
265	2652	7319
266	2662	7308
267	2670	7294
268	2678	7277
269	2688	7268
270	2697	7257
271	2704	7237
272	2710	7219
273	2726	7224
274	2737	7218
275	2748	7209
276	2758	7201
277	2769	7193
278	2779	7182
279	2788	7169
280	2798	7160
281	2809	7152
282	2815	7132
283	2824	7121
284	2835	7112
285	2841	7093
286	2853	7090
287	2859	7069
288	2871	7065
289	2879	7050
290	2897	7059
291	2915	7068
292	2925	7060
293	2934	7047
294	2954	7061
295	2972	7070
296	2992	7083
297	3014	7101
298	3034	7114
299	3054	7127
300	3069	7127
301	3086	7132
302	3096	7123
303	3105	7110
304	3116	7102
305	3124	7086
306	3135	7078
307	3145	7067
308	3152	7049
309	3158	7029
310	3167	7016
311	3176	7004
312	3181	6982
313	3192	6974
314	3197	6952
315	3205	6939
316	3214	6925
317	3222	6910
318	3230	6897
319	3241	6888
320	3245	6865
321	3257	6859
322	3265	6845
323	3274	6832
324	3283	6820
325	3291	6805
326	3301	6794
327	3311	6784
328	3321	6773
329	3332	6766
330	3340	6751
331	3348	6736
332	3355	6720
333	3360	6700
334	3369	6687
335	3378	6675
336	3386	6662
337	3392	6644
338	3401	6631
339	3407	6614
340	3412	6594
341	3422	6584
342	3427	6564
343	3440	6561
344	3451	6552
345	3459	6539
346	3467	6524
347	3474	6510
348	3484	6498
349	3491	6483
350	3503	6478
351	3513	6467
352	3518	6448
353	3524	6431
354	3531	6415
355	3538	6401
356	3546	6387
357	3551	6369
358	3558	6354
359	3567	6341
360	3573	6325
361	3580	6310
362	3587	6295
363	3599	6289
364	3606	6273
365	3615	6263
366	3622	6248
367	3631	6236
368	3637	6221
369	3646	6209
370	3656	6198
371	3668	6193
372	3676	6179
373	3684	6166
374	3691	6152
375	3699	6139
376	3709	6130
377	3714	6112
378	3721	6097
379	3728	6083
380	3737	6071
381	3746	6060
382	3754	6048
383	3769	6046
384	3777	6033
385	3784	6019
386	3792	6006
387	3801	5996
388	3806	5979
389	3813	5964
390	3823	5955
391	3833	5946
392	3844	5938
393	3853	5926
394	3862	5916
395	3871	5904
396	3879	5892
397	3890	5884
398	3898	5872
399	3905	5857
400	3914	5847
401	3922	5834
402	3929	5821
403	3940	5813
404	3952	5806
405	3960	5794
406	3968	5781
407	3973	5765
408	3982	5754
409	3987	5737
410	3996	5727
411	4005	5717
412	4016	5709
413	4027	5700
414	4037	5691
415	4046	5680
416	4052	5665
417	4062	5655
418	4068	5642
419	4077	5631
420	4089	5624
421	4099	5615
422	4105	5600
423	4113	5588
424	4117	5570
425	4128	5562
426	4138	5553
427	4155	5553
428	4164	5542
429	4171	5530
430	4177	5515
431	4185	5502
432	4194	5492
433	4205	5484
434	4218	5478
435	4227	5468
436	4238	5460
437	4243	5444
438	4251	5433
439	4259	5421
440	4266	5407
441	4275	5397
442	4282	5384
443	4288	5370
444	4292	5353
445	4301	5343
446	4312	5335
447	4322	5325
448	4331	5314
449	4340	5304
450	4353	5299
451	4358	5284
452	4365	5271
453	4372	5258
454	4381	5247
455	4387	5234
456	4396	5224
457	4408	5216
458	4415	5204
459	4422	5191
460	4432	5182
461	4441	5172
462	4452	5163
463	4461	5153
464	4471	5144
465	4480	5134
466	4491	5125
467	4501	5117
468	4511	5107
469	4520	5097
470	4529	5087
471	4539	5078
472	4548	5067
473	4556	5056
474	4566	5047
475	4572	5033
476	4580	5022
477	4589	5012
478	4599	5003
479	4606	4990
480	4615	4980
481	4625	4971
482	4636	4963
483	4646	4953
484	4656	4944
485	4668	4937
486	4676	4926
487	4683	4913
488	4691	4902
489	4701	4893
490	4708	4881
491	4717	4870
492	4729	4863
493	4734	4849
494	4742	4837
495	4748	4824
496	4758	4816
497	4763	4802
498	4772	4791
499	4784	4784
500	4791	4772
501	4802	4764
502	4811	4753
503	4815	4739
504	4826	4730
505	4836	4721
506	4844	4710
507	4854	4702
508	4864	4692
509	4873	4682
510	4883	4673
511	4892	4662
512	4901	4653
513	4912	4645
514	4922	4636
515	4933	4627
516	4942	4617
517	4952	4608
518	4961	4598
519	4973	4591
520	4985	4583
521	4997	4576
522	5007	4566
523	5017	4558
524	5026	4547
525	5040	4542
526	5056	4537
527	5065	4528
528	5075	4518
529	5084	4509
530	5095	4500
531	5106	4492
532	5117	4483
533	5127	4474
534	5138	4466
535	5152	4460
536	5162	4450
537	5172	4441
538	5182	4432
539	5190	4421
540	5200	4411
541	5210	4402
542	5224	4397
543	5234	4387
544	5243	4377
545	5254	4369
546	5261	4357
547	5271	4348
548	5280	4338
549	5296	4333
550	5314	4331
551	5325	4322
552	5337	4314
553	5345	4303
554	5353	4292
555	5362	4282
556	5370	4271
557	5382	4263
558	5391	4253
559	5400	4243
560	5408	4231
561	5417	4222
562	5426	4212
563	5438	4204
564	5449	4195
565	5457	4184
566	5465	4173
567	5476	4165
568	5487	4156
569	5495	4146
570	5505	4136
571	5515	4126
572	5524	4117
573	5536	4109
574	5545	4098
575	5553	4087
576	5564	4079
577	5574	4069
578	5583	4060
579	5593	4050
580	5605	4042
581	5615	4033
582	5626	4024
583	5634	4013
584	5645	4005
585	5655	3995
586	5664	3985
587	5676	3977
588	5685	3967
589	5693	3956
590	5704	3947
591	5714	3938
592	5727	3931
593	5736	3921
594	5747	3912
595	5757	3902
596	5770	3895
597	5780	3886
598	5791	3877
599	5801	3867
600	5811	3858
601	5821	3848
602	5837	3843
603	5848	3834
604	5859	3825
605	5870	3816
606	5880	3807
607	5889	3797
608	5903	3790
609	5912	3780
610	5921	3770
611	5932	3760
612	5941	3751
613	5951	3741
614	5965	3734
615	5976	3725
616	5983	3714
617	5991	3703
618	6001	3694
619	6012	3684
620	6021	3674
621	6036	3668
622	6046	3659
623	6057	3650
624	6068	3640
625	6078	3631
626	6092	3624
627	6103	3615
628	6113	3606
629	6124	3597
630	6135	3588
631	6146	3578
632	6159	3571
633	6169	3561
634	6178	3551
635	6187	3541
636	6197	3531
637	6212	3524
638	6226	3517
639	6236	3508
640	6246	3498
641	6256	3489
642	6267	3479
643	6276	3469
644	6290	3462
645	6301	3453
646	6312	3443
647	6322	3434
648	6332	3424
649	6344	3416
650	6358	3408
651	6369	3399
652	6380	3390
653	6389	3380
654	6400	3371
655	6411	3362
656	6421	3352
657	6432	3343
658	6442	3333
659	6456	3326
660	6466	3316
661	6477	3306
662	6487	3297
663	6498	3288
664	6510	3279
665	6520	3270
666	6530	3260
667	6540	3250
668	6550	3241
669	6560	3231
670	6570	3221
671	6584	3214
672	6594	3203
673	6605	3195
674	6616	3185
675	6626	3176
676	6641	3168
677	6650	3158
678	6660	3148
679	6671	3139
680	6680	3129
681	6690	3119
682	6700	3110
683	6714	3102
684	6726	3093
685	6736	3083
686	6746	3073
687	6758	3064
688	6770	3056
689	6782	3047
690	6790	3036
691	6801	3027
692	6811	3017
693	6821	3007
694	6830	2997
695	6843	2989
696	6853	2979
697	6864	2969
698	6874	2960
699	6885	2950
700	6895	2941
701	6908	2932
702	6917	2922
703	6927	2912
704	6938	2903
705	6948	2893
706	6957	2883
707	6970	2874
708	6981	2865
709	6992	2856
710	7003	2846
711	7013	2836
712	7023	2827
713	7036	2818
714	7046	2808
715	7055	2798
716	7066	2789
717	7077	2779
718	7086	2769
719	7099	2760
720	7110	2751
721	7121	2741
722	7131	2732
723	7141	2722
724	7151	2712
725	7164	2703
726	7173	2693
727	7183	2683
728	7192	2673
729	7202	2664
730	7211	2653
731	7225	2645
732	7235	2635
733	7246	2626
734	7257	2616
735	7267	2606
736	7278	2597
737	7292	2588
738	7300	2578
739	7309	2568
740	7319	2558
741	7329	2548
742	7338	2538
743	7348	2528
744	7361	2519
745	7371	2509
746	7381	2500
747	7391	2490
748	7400	2480
749	7408	2469
750	7420	2460
751	7429	2450
752	7438	2440
753	7448	2430
754	7459	2420
755	7469	2410
756	7479	2401
757	7492	2392
758	7503	2382
759	7513	2372
760	7523	2362
761	7533	2352
762	7547	2344
763	7557	2334
764	7566	2324
765	7576	2314
766	7586	2304
767	7595	2294
768	7605	2284
769	7619	2276
770	7630	2266
771	7641	2256
772	7651	2247
773	7662	2237
774	7672	2227
775	7686	2218
776	7697	2209
777	7708	2199
778	7719	2189
779	7729	2180
780	7744	2171
781	7751	2161
782	7761	2150
783	7771	2140
784	7782	2131
785	7792	2121
786	7804	2112
787	7815	2102
788	7827	2093
789	7838	2083
790	7850	2074
791	7860	2064
792	7875	2055
793	7887	2046
794	7898	2036
795	7911	2027
796	7922	2017
797	7932	2007
798	7942	1997
799	7952	1988
800	7962	1978
801	7970	1967
802	7978	1957
803	7988	1947
804	8000	1937
805	8008	1927
806	8019	1917
807	8028	1907
808	8038	1897
809	8049	1888
810	8059	1878
811	8073	1869
812	8084	1859
813	8095	1849
814	8106	1840
815	8114	1829
816	8126	1820
817	8140	1811
818	8151	1801
819	8161	1791
820	8172	1781
821	8183	1772
822	8197	1763
823	8207	1753
824	8217	1743
825	8227	1733
826	8238	1723
827	8248	1713
828	8260	1703
829	8272	1694
830	8283	1684
831	8293	1674
832	8305	1665
833	8315	1655
834	8329	1646
835	8340	1636
836	8351	1626
837	8361	1616
838	8372	1606
839	8382	1596
840	8395	1587
841	8404	1577
842	8416	1567
843	8425	1557
844	8436	1547
845	8449	1538
846	8460	1528
847	8471	1518
848	8484	1509
849	8494	1499
850	8506	1489
851	8518	1479
852	8536	1471
853	8549	1461
854	8562	1452
855	8574	1442
856	8589	1433
857	8607	1424
858	8619	1414
859	8631	1405
860	8643	1395
861	8654	1385
862	8669	1376
863	8680	1366
864	8690	1356
865	8701	1346
866	8716	1337
867	8732	1328
868	8747	1318
869	8761	1309
870	8774	1299
871	8787	1289
872	8801	1280
873	8814	1270
874	8826	1260
875	8837	1251
876	8851	1241
877	8864	1231
878	8876	1221
879	8889	1212
880	8902	1202
881	8917	1193
882	8931	1183
883	8942	1173
884	8953	1163
885	8969	1154
886	8982	1144
887	8997	1134
888	9012	1125
889	9024	1115
890	9038	1105
891	9048	1095
892	9057	1085
893	9066	1075
894	9079	1065
895	9089	1055
896	9100	1044
897	9110	1034
898	9120	1024
899	9133	1014
900	9143	1004
901	9152	994
902	9163	984
903	9173	974
904	9183	964
905	9194	953
906	9210	944
907	9224	934
908	9235	924
909	9247	914
910	9261	904
911	9277	895
912	9290	885
913	9302	875
914	9313	865
915	9328	855
916	9346	845
917	9362	836
918	9377	826
919	9392	816
920	9410	807
921	9425	797
922	9439	787
923	9450	777
924	9493	769
925	9508	759
926	9522	749
927	9537	739
928	9547	729
929	9557	719
930	9569	709
931	9685	706
932	9739	699
933	9780	691
934	9809	681
935	9831	672
936	9849	662
937	9862	651
938	9873	641
939	9888	631
940	9901	620
941	9911	610
942	9920	599
943	9936	589
944	9949	579
945	9961	568
946	9975	558
947	9989	547
948	10006	537
949	10024	527
950	10045	517
951	10061	507
952	10077	497
953	10093	486
954	10106	476
955	10119	465
956	10133	455
957	10147	444
958	10159	434
959	10170	423
960	10181	413
961	10192	402
962	10201	391
963	10214	381
964	10233	371
965	10249	360
966	10260	350
967	10271	339
968	10280	328
969	10290	318
970	10302	307
971	10313	297
972	10323	286
973	10333	275
974	10344	265
975	10354	254
976	10364	244
977	10374	233
978	10384	222
979	10394	212
980	10405	201
981	10414	190
982	10423	180
983	10433	169
984	10443	159
985	10453	148
986	10463	137
987	10472	127
988	10482	116
989	10501	106
990	10520	95
991	10543	85
992	10563	74
993	10581	63
994	10677	53
995	10811	43
996	10854	32
997	10873	21
998	10897	10
999	10916	0
