aX,aY,aZ,gX,gY,gZ
-0.109,-0.456,0.858,0.854,-1.831,0.549
-0.116,-0.455,0.864,0.854,-3.052,0.122
-0.122,-0.459,0.865,1.038,-3.418,0.000
-0.122,-0.457,0.866,1.282,-3.052,-0.061
,,,,,
0.005,-0.881,1.833,-159.119,-36.499,-77.576
-0.009,-1.044,1.862,-140.198,-36.133,-67.017
0.138,-0.893,1.842,-118.469,-37.964,-42.053
0.181,-0.960,1.814,-96.680,-34.302,-32.471
0.199,-0.874,1.694,-78.125,-19.897,-28.442
0.252,-0.883,1.575,-63.293,-4.578,-32.043
0.254,-0.750,1.413,-54.626,6.836,-36.804
0.350,-0.627,1.319,-52.795,12.939,-58.472
0.345,-0.697,1.204,-52.673,16.052,-89.844
0.241,-0.762,1.173,-48.767,9.888,-98.877
0.165,-0.708,1.165,-38.879,-0.061,-86.365
0.098,-0.666,1.164,-28.137,-9.094,-76.965
0.090,-0.626,1.272,-19.714,-15.320,-78.186
0.009,-0.547,1.427,-12.207,-14.954,-89.050
-0.137,-0.576,1.479,5.127,-0.122,-103.333
-0.101,-0.690,1.382,34.058,23.315,-110.352
-0.190,-0.774,1.285,57.861,44.373,-107.727
-0.151,-0.769,1.188,69.946,65.735,-98.206
-0.149,-0.763,1.070,82.458,75.500,-85.083
-0.173,-0.628,1.010,87.585,86.426,-74.341
-0.160,-0.590,0.934,90.210,101.624,-64.026
-0.208,-0.767,0.513,85.205,119.568,-58.594
-0.150,-0.702,0.632,59.692,116.760,-45.288
-0.087,-0.696,0.601,72.021,104.431,-23.987
-0.076,-0.781,0.600,56.030,112.061,-18.860
0.030,-0.633,0.579,39.124,126.587,-16.724
0.157,-0.673,0.578,53.528,134.338,-10.498
0.210,-0.654,0.554,49.561,134.583,-15.991
0.254,-0.657,0.578,37.964,126.526,-25.757
0.267,-0.747,0.463,50.415,113.342,-32.349
0.225,-0.804,0.478,48.767,94.177,-36.133
0.152,-0.783,0.499,48.035,68.665,-32.288
0.032,-0.765,0.409,40.039,42.358,-26.611
0.022,-0.809,0.420,24.841,19.653,-21.118
0.098,-0.703,0.589,15.198,-1.709,-13.977
0.036,-0.702,0.713,16.785,-17.151,-10.925
-0.081,-0.788,0.663,16.907,-18.982,-12.390
-0.018,-0.792,0.586,10.498,-14.648,-12.329
