aX,aY,aZ,gX,gY,gZ
0.070,-1.343,1.243,-22.827,-24.902,70.374
0.042,-1.404,1.204,-28.442,-7.080,70.068
0.030,-1.413,1.124,-35.645,14.404,63.293
-0.058,-1.428,1.130,-39.185,39.368,54.932
-0.048,-1.465,0.929,-41.931,70.923,47.913
-0.086,-1.445,0.720,-36.560,91.125,46.326
-0.201,-1.432,0.620,-21.729,93.262,49.805
-0.278,-1.401,0.468,-11.108,85.693,51.208
-0.339,-1.340,0.304,0.183,69.092,57.007
-0.425,-1.229,0.179,12.573,45.105,72.754
-0.503,-1.067,0.067,17.090,17.700,95.093
-0.560,-0.863,0.004,12.024,-6.592,121.094
-0.592,-0.641,-0.026,-4.272,-25.757,145.691
-0.596,-0.285,-0.030,-26.245,-38.086,170.044
-0.536,0.153,-0.016,-43.457,-46.814,188.171
-0.440,0.571,0.032,-54.443,-55.542,190.674
-0.288,1.005,0.106,-63.354,-61.340,172.180
-0.191,1.369,0.195,-72.144,-61.462,137.329
-0.255,1.585,0.300,-84.473,-59.021,97.168
-0.240,1.796,0.394,-99.670,-59.265,67.688
-0.124,1.849,0.518,-112.244,-76.660,62.744
-0.015,1.937,0.735,-128.174,-112.305,86.426
0.119,2.038,0.995,-154.114,-136.047,111.694
0.331,1.979,1.209,-184.692,-129.028,116.211
0.499,1.815,1.396,-203.979,-102.783,108.032
0.663,1.603,1.600,-204.407,-70.618,97.656
0.809,1.391,1.798,-186.279,-36.377,86.243
0.906,1.215,1.916,-152.466,1.587,75.439
0.916,0.999,1.840,-103.943,44.250,70.435
0.910,0.859,1.631,-50.781,84.717,73.364
0.952,0.799,1.375,-5.371,108.093,77.576
1.002,0.775,1.105,26.794,109.070,73.608
1.043,0.776,0.963,46.692,92.224,61.279
1.076,0.809,0.893,59.937,69.946,41.931
1.083,0.831,0.814,74.402,51.331,19.409
0.990,0.840,0.749,88.318,37.781,-5.432
0.888,0.925,0.749,93.079,25.696,-30.640
0.830,1.011,0.757,89.111,19.043,-53.650
0.730,1.152,0.760,83.862,19.165,-72.876
0.634,1.316,0.757,87.952,19.165,-86.243
0.519,1.404,0.731,99.365,16.174,-97.107
0.392,1.394,0.696,110.046,11.047,-105.652
0.205,1.311,0.699,114.258,6.348,-112.976
0.059,1.160,0.736,113.403,1.770,-115.845
-0.043,0.996,0.757,113.159,-4.517,-111.023
-0.141,0.883,0.786,115.662,-7.996,-104.675
-0.236,0.797,0.808,115.601,-8.240,-103.271
-0.264,0.632,0.813,112.732,-5.554,-102.905
-0.250,0.414,0.794,107.605,-0.671,-101.685
-0.213,0.134,0.763,100.342,6.287,-98.572
-0.157,-0.143,0.749,90.210,13.184,-91.919
-0.076,-0.363,0.723,80.872,19.043,-83.008
-0.020,-0.491,0.735,75.623,24.475,-79.224
-0.024,-0.550,0.765,74.341,27.222,-83.557
-0.054,-0.628,0.788,77.637,24.780,-90.027
-0.099,-0.729,0.786,84.229,19.531,-92.163
-0.126,-0.819,0.783,89.111,15.991,-89.355
-0.114,-0.887,0.755,87.585,16.296,-81.604
-0.060,-0.985,0.709,81.482,18.372,-67.383
-0.002,-1.102,0.665,71.106,18.860,-51.575
0.043,-1.194,0.637,56.641,17.517,-40.588
0.036,-1.257,0.645,41.199,13.916,-33.447
0.039,-1.293,0.659,31.372,11.230,-24.719
0.049,-1.260,0.672,26.794,11.719,-13.306
0.093,-1.152,0.703,24.292,14.160,-3.235
0.142,-1.046,0.751,21.790,16.846,0.122
0.157,-0.985,0.783,20.447,18.616,-1.526
0.171,-0.927,0.797,19.226,21.912,-3.784
0.209,-0.871,0.802,15.686,25.818,-2.930
0.249,-0.832,0.787,12.207,27.588,0.427
0.309,-0.773,0.761,10.559,25.269,4.700
0.359,-0.739,0.757,10.071,19.104,7.080
0.392,-0.730,0.767,9.705,10.742,7.874
0.434,-0.701,0.768,9.766,4.639,9.460
0.460,-0.642,0.776,10.376,2.441,9.827
