0,1,2,3,4,5,6
Scan Type:,Crossline,Crossline,Crossline,Inline,Inline,Inline
Radiation Type:,Photons,Photons,Photons,Photons,Photons,Photons
Energy:,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV
Fieldsize:,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm
Depth:,15.0 mm,100.0 mm,350.0 mm,15.0 mm,100.0 mm,350.0 mm
,Color [MediumVioletRed],Color [Orange],Color [DeepPink],Color [SlateBlue],Color [Teal],Color [Blue]
Coordinate [mm]:,,,,,,
27,109.3,71.9,17.7,106.2,71.1,17.6
28,100.1,70.5,17.6,95.2,69.2,17.5
29,83.1,68.4,17.5,74.9,66.8,17.4
30,57.3,64.8,17.5,50.6,62.4,17.4
31,32.3,58,17.5,29.8,54.5,17.2
32,19,46.9,17.3,17.2,42.2,16.9
33,12,32.7,17.1,11.4,28.7,16.6
34,8.6,21.3,16.9,8.7,19.2,16.6
35,6.8,14.5,16.5,7.1,13.5,16.4
36,5.9,11,16.1,6.2,10.4,15.9
37,5.3,9.1,15.2,5.8,8.8,15.1
38,4.8,8.2,14.3,5.4,8,13.7
39,4.5,7.5,12.7,5,7.4,11.6
40,4.2,6.9,10.3,4.6,6.9,9.3
41,3.9,6.5,7.7,4.6,6.5,6.8
42,3.8,6.2,5.8,4.5,6.3,5.1
43,3.5,5.7,4.6,4.3,6,4.2
44,3.3,5.3,3.9,4.3,5.7,3.7
45,3.2,5,3.5,4.1,5.3,3.3
46,3.1,4.8,3.2,4.1,5.3,3.1
47,2.8,4.8,2.8,3.9,5.2,2.9
48,2.8,4.6,2.7,3.7,4.9,2.9
49,2.9,4.4,2.7,3.5,4.6,2.8
50,2.6,4.2,2.6,3.3,4.5,2.7
51,2.5,4.1,2.4,3.5,4.4,2.7
52,2.6,3.9,2.3,3.4,4,2.7
53,2.3,3.7,2.2,3.2,3.9,2.6
54,2.2,3.7,2.3,3,4.1,2.4
55,2.2,3.7,2.4,2.9,3.8,2.3
56,2.1,3.3,2.3,2.9,3.7,2.4
57,2,3.2,2.1,2.8,3.8,2.4
58,2,3.2,2.1,2.8,3.7,2.2
59,1.9,3.1,2,2.7,3.5,2.3
60,1.8,2.9,1.8,2.6,3.4,2.3
61,1.9,2.7,1.8,2.5,3.1,2.2
62,1.9,3,1.8,2.5,3,2
63,1.9,2.7,1.9,2.4,3,2
64,1.8,2.5,1.7,2.4,3,2.1
65,1.6,2.5,2,2.3,3,2
66,1.6,2.5,1.9,2.2,3,1.9
67,1.6,2.3,1.8,2.2,3,2
68,1.5,2.2,1.9,2.3,2.7,1.9
69,1.5,2.1,1.8,2.2,2.6,1.7
70,1.7,2.2,1.5,2.1,2.6,1.7
71,1.4,2.3,1.6,2,2.4,1.7
72,1.6,1.9,1.8,1.9,2.1,1.7
73,1.6,2.1,1.7,2,2.2,1.7
74,1.4,2.3,1.7,1.9,2.3,1.8
75,1.4,2.2,1.7,1.9,2.2,1.7
76,1.3,2,1.6,1.8,2,1.6
77,1.3,1.8,1.8,1.8,1.9,1.5
78,1.2,1.9,1.5,1.9,1.9,1.4
79,1.2,2.1,1.4,1.6,1.8,1.5
80,1.2,1.8,1.6,1.4,2,1.6
81,,1.6,1.6,,2.1,1.5
82,,1.8,1.5,,2,1.5
83,,1.7,1.5,,,1.5
84,,,1.5,,,1.5
85,,,1.5,,,1.5
86,,,1.4,,,1.4
87,,,1.2,,,1.5
88,,,1.2,,,1.5
89,,,1.3,,,1.3
90,,,1.2,,,1.4
