,domain,entity_id,state,last_changed,attributes,entity_name,device_class,unit_of_measurement,friendly_name
6220,sensor,sensor.living_room_sensor_light_level,44.74,2019-12-30 09:03:07.032761,"{'battery_level': 61, 'lightlevel': 16508, 'daylight': False, 'dark': False, 'threshold_dark': 16000, 'threshold_offset': 7000, 'unit_of_measurement': 'lx', 'friendly_name': 'Living room sensor light level', 'device_class': 'illuminance'}",living_room_sensor_light_level,illuminance,lx,Living room sensor light level
6222,sensor,sensor.living_room_sensor_light_level,41.66,2019-12-30 09:02:55.033297,"{'battery_level': 61, 'lightlevel': 16198, 'daylight': False, 'dark': False, 'threshold_dark': 16000, 'threshold_offset': 7000, 'unit_of_measurement': 'lx', 'friendly_name': 'Living room sensor light level', 'device_class': 'illuminance'}",living_room_sensor_light_level,illuminance,lx,Living room sensor light level
6223,sensor,sensor.living_room_sensor_light_level,20.17,2019-12-30 09:02:49.032378,"{'battery_level': 61, 'lightlevel': 13048, 'daylight': False, 'dark': True, 'threshold_dark': 16000, 'threshold_offset': 7000, 'unit_of_measurement': 'lx', 'friendly_name': 'Living room sensor light level', 'device_class': 'illuminance'}",living_room_sensor_light_level,illuminance,lx,Living room sensor light level
6224,binary_sensor,binary_sensor.office_sensor_motion,0.0,2019-12-30 09:02:43.031708,"{'battery_level': 53, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Office sensor motion', 'device_class': 'motion'}",office_sensor_motion,motion,unknown,Office sensor motion
6225,binary_sensor,binary_sensor.office_sensor_motion,1.0,2019-12-30 09:02:37.031312,"{'battery_level': 53, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Office sensor motion', 'device_class': 'motion'}",office_sensor_motion,motion,unknown,Office sensor motion
6226,sensor,sensor.hue_motion_sensor_1_light_level,187.67,2019-12-30 09:02:01.040875,"{'battery_level': 100, 'lightlevel': 22735, 'daylight': False, 'dark': False, 'threshold_dark': 16000, 'threshold_offset': 7000, 'unit_of_measurement': 'lx', 'friendly_name': 'Downstairs hallway light level', 'device_class': 'illuminance'}",hue_motion_sensor_1_light_level,illuminance,lx,Downstairs hallway light level
6228,binary_sensor,binary_sensor.office_sensor_motion,0.0,2019-12-30 09:01:55.032139,"{'battery_level': 53, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Office sensor motion', 'device_class': 'motion'}",office_sensor_motion,motion,unknown,Office sensor motion
6229,sensor,sensor.living_room_sensor_light_level,35.49,2019-12-30 09:01:49.033027,"{'battery_level': 61, 'lightlevel': 15502, 'daylight': False, 'dark': True, 'threshold_dark': 16000, 'threshold_offset': 7000, 'unit_of_measurement': 'lx', 'friendly_name': 'Living room sensor light level', 'device_class': 'illuminance'}",living_room_sensor_light_level,illuminance,lx,Living room sensor light level
6230,sensor,sensor.next_train_to_wat,44.0,2019-12-30 09:01:48.373792,"{'station_code': 'MAL', 'calling_at': 'WAT', 'next_trains': [{'origin_name': 'Chessington South', 'destination_name': 'London Waterloo', 'status': 'ON TIME', 'scheduled': '09:45', 'estimated': '09:45', 'platform': None, 'operator_name': 'South Western Railway'}, {'origin_name': 'Chessington South', 'destination_name': 'London Waterloo', 'status': 'ON TIME', 'scheduled': '10:45', 'estimated': '10:45', 'platform': None, 'operator_name': 'South Western Railway'}], 'unit_of_measurement': 'min', 'friendly_name': 'Next train to WAT', 'icon': 'mdi:train'}",next_train_to_wat,unknown,min,Next train to WAT
6231,sensor,sensor.office_sensor_light_level,506.99,2019-12-30 09:01:43.043392,"{'battery_level': 53, 'lightlevel': 27051, 'daylight': True, 'dark': False, 'threshold_dark': 16000, 'threshold_offset': 7000, 'unit_of_measurement': 'lx', 'friendly_name': 'Office sensor light level', 'device_class': 'illuminance'}",office_sensor_light_level,illuminance,lx,Office sensor light level
